"id","temp","humidity","c_on"
"247","26.8","72.7","2019-01-26 13:31:12.717509"
"248","26.8","72.6","2019-01-26 13:31:13.422130"
"249","26.8","72.7","2019-01-26 13:31:24.995932"
"250","26.8","72.6","2019-01-26 13:31:25.729411"
"251","26.8","72.7","2019-01-26 13:31:29.604709"
"252","26.8","72.6","2019-01-26 13:31:32.881939"
"253","26.8","72.7","2019-01-26 13:31:33.595018"
"254","26.8","72.6","2019-01-26 13:31:34.285600"
"255","26.8","72.7","2019-01-26 13:31:35.029690"
"256","26.8","72.8","2019-01-26 13:31:39.334378"
"257","26.7","72.7","2019-01-26 13:31:40.052993"
"258","26.8","72.8","2019-01-26 13:31:40.751926"
"259","26.8","72.7","2019-01-26 13:31:49.575659"
"260","26.7","72.7","2019-01-26 13:31:50.261328"
"261","26.7","72.6","2019-01-26 13:32:00.214608"
"262","26.7","72.7","2019-01-26 13:32:16.195372"
"263","26.7","72.8","2019-01-26 13:32:17.422465"
"264","26.6","72.7","2019-01-26 13:32:18.138272"
"265","26.7","72.9","2019-01-26 13:32:18.819742"
"266","26.6","72.8","2019-01-26 13:32:19.569279"
"267","26.7","72.9","2019-01-26 13:32:20.291464"
"268","26.6","72.8","2019-01-26 13:32:21.007046"
"269","26.6","72.7","2019-01-26 13:32:21.723076"
"270","26.7","72.8","2019-01-26 13:32:22.951919"
"271","26.6","72.7","2019-01-26 13:32:23.971860"
"272","26.7","72.7","2019-01-26 13:32:25.010504"
"273","26.6","72.6","2019-01-26 13:32:27.275081"
"274","26.6","72.5","2019-01-26 13:32:27.965541"
"275","26.6","72.4","2019-01-26 13:32:33.889307"
"276","26.6","72.5","2019-01-26 13:32:35.655017"
"277","26.6","72.4","2019-01-26 13:32:36.365997"
"278","26.6","72.8","2019-01-26 13:32:44.213320"
"279","26.6","72.9","2019-01-26 13:32:44.888142"
"280","26.6","72.7","2019-01-26 13:32:52.853565"
"281","26.6","72.9","2019-01-26 13:32:53.649110"
"282","26.6","72.8","2019-01-26 13:32:54.432624"
"283","26.6","72.9","2019-01-26 13:32:55.091623"
"284","26.6","73.1","2019-01-26 13:32:58.900069"
"285","26.6","73.2","2019-01-26 13:33:00.116507"
"286","26.6","73.3","2019-01-26 13:33:01.867456"
"287","26.6","73.1","2019-01-26 13:33:05.109697"
"288","26.6","73","2019-01-26 13:33:08.954606"
"289","26.5","72.9","2019-01-26 13:33:16.112758"
"290","26.6","73","2019-01-26 13:33:16.801476"
"291","26.6","72.9","2019-01-26 13:33:17.560127"
"292","26.5","72.8","2019-01-26 13:33:19.895772"
"293","26.6","72.9","2019-01-26 13:33:20.621026"
"294","26.5","72.8","2019-01-26 13:33:25.419031"
"295","26.6","73.1","2019-01-26 13:33:26.141166"
"296","26.5","72.9","2019-01-26 13:33:26.816181"
"297","26.6","73","2019-01-26 13:33:28.062798"
"298","26.5","72.9","2019-01-26 13:33:29.322092"
"299","26.6","73","2019-01-26 13:33:31.061301"
"300","26.5","72.9","2019-01-26 13:33:35.321798"
"301","26.5","73.2","2019-01-26 13:33:35.998802"
"302","26.5","73.5","2019-01-26 13:33:36.684993"
"303","26.6","73.7","2019-01-26 13:33:37.373922"
"304","26.5","73.6","2019-01-26 13:33:38.123262"
"305","26.6","73.7","2019-01-26 13:33:38.938460"
"306","26.5","73.6","2019-01-26 13:33:39.876403"
"307","26.6","73.8","2019-01-26 13:33:40.887297"
"308","26.6","73.7","2019-01-26 13:33:41.911737"
"309","26.5","73.5","2019-01-26 13:33:45.499874"
"310","26.6","73.6","2019-01-26 13:33:46.416429"
"311","26.6","73.5","2019-01-26 13:33:47.655437"
"312","26.5","73.4","2019-01-26 13:33:48.881314"
"313","26.5","73.3","2019-01-26 13:33:50.099190"
"314","26.6","73.2","2019-01-26 13:33:53.891950"
"315","26.5","73.2","2019-01-26 13:33:54.607248"
"316","26.5","73.1","2019-01-26 13:33:55.432269"
"317","26.6","73.1","2019-01-26 13:33:56.658712"
"318","26.5","73","2019-01-26 13:33:57.375123"
"319","26.6","73.1","2019-01-26 13:34:02.195121"
"320","26.5","73","2019-01-26 13:34:02.906401"
"321","26.6","73.1","2019-01-26 13:34:06.691813"
"322","26.5","73","2019-01-26 13:34:07.411351"
"323","26.5","72.9","2019-01-26 13:34:11.706340"
"324","26.5","73","2019-01-26 13:34:13.248373"
"325","26.5","72.8","2019-01-26 13:34:17.137637"
"326","26.5","72.7","2019-01-26 13:34:17.859614"
"327","26.5","72.8","2019-01-26 13:34:19.082368"
"328","26.5","72.7","2019-01-26 13:34:19.799478"
"329","26.5","72.6","2019-01-26 13:34:21.010740"
"330","26.5","72.8","2019-01-26 13:34:26.866893"
"331","26.5","72.9","2019-01-26 13:34:30.659091"
"332","26.5","72.8","2019-01-26 13:34:34.944164"
"333","26.5","72.9","2019-01-26 13:34:35.680501"
"334","26.5","73","2019-01-26 13:34:37.429822"
"335","26.5","73.1","2019-01-26 13:34:50.621511"
"336","26.5","73","2019-01-26 13:34:51.836232"
"337","26.5","72.9","2019-01-26 13:34:56.662777"
"338","26.5","73","2019-01-26 13:34:57.353759"
"339","26.5","72.9","2019-01-26 13:34:58.059445"
"340","26.5","72.8","2019-01-26 13:35:01.427943"
"341","26.5","72.7","2019-01-26 13:35:04.634936"
"342","26.6","72.7","2019-01-26 13:35:07.846559"
"343","26.5","72.4","2019-01-26 13:35:08.536519"
